"pathway","disease_type2","riskfactor","V1","V2","V3"
"direct","Other_CVD","dairy_tot",0,0,0
"medBMI","Other_CVD","dairy_tot",0,0,0
"medSBP","Other_CVD","dairy_tot",0,0,0
"direct","Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"medBMI","Cancer","dairy_tot",0,0,0
"medSBP","Cancer","dairy_tot",0,0,0
"direct","DIAB","dairy_tot",0,0,0
"medBMI","DIAB","dairy_tot",0,0,0
"medSBP","DIAB","dairy_tot",0,0,0
"direct","HHD","dairy_tot",0,0,0
"medBMI","HHD","dairy_tot",0,0,0
"medSBP","HHD","dairy_tot",0,0,0
"direct","HSTK","dairy_tot",0,0,0
"medBMI","HSTK","dairy_tot",0,0,0
"medSBP","HSTK","dairy_tot",0,0,0
"direct","IHD","dairy_tot",0,0,0
"medBMI","IHD","dairy_tot",0,0,0
"medSBP","IHD","dairy_tot",0,0,0
"direct","ISTK","dairy_tot",0,0,0
"medBMI","ISTK","dairy_tot",0,0,0
"medSBP","ISTK","dairy_tot",0,0,0
"direct","OSTK","dairy_tot",0,0,0
"medBMI","OSTK","dairy_tot",0,0,0
"medSBP","OSTK","dairy_tot",0,0,0
"direct","Other_CVD","leg_tot",0,0,0
"medBMI","Other_CVD","leg_tot",502.942079977825,560.454463881104,474.021410213304
"medSBP","Other_CVD","leg_tot",0,0,0
"direct","Cancer","leg_tot",793.560812054616,839.560519453121,779.946542547474
"medBMI","Cancer","leg_tot",1904.70229497922,1727.62878970504,1797.68373404025
"medSBP","Cancer","leg_tot",0,0,0
"direct","DIAB","leg_tot",0,0,0
"medBMI","DIAB","leg_tot",856.070466739042,928.548331266576,851.928625160167
"medSBP","DIAB","leg_tot",0,0,0
"direct","HHD","leg_tot",0,0,0
"medBMI","HHD","leg_tot",574.519252970283,480.336401644002,414.217923317871
"medSBP","HHD","leg_tot",0,0,0
"direct","HSTK","leg_tot",662.817232618873,638.784201932524,654.451487482632
"medBMI","HSTK","leg_tot",156.783824302443,176.841027577891,156.404268389727
"medSBP","HSTK","leg_tot",0,0,0
"direct","IHD","leg_tot",1995.80877778838,1763.74334420196,1851.44551368836
"medBMI","IHD","leg_tot",1794.64097986378,1775.61186576001,1796.74626023546
"medSBP","IHD","leg_tot",0,0,0
"direct","ISTK","leg_tot",591.492095653867,736.208916220251,628.346392960228
"medBMI","ISTK","leg_tot",218.552855139546,148.557103900156,166.421893585782
"medSBP","ISTK","leg_tot",0,0,0
"direct","OSTK","leg_tot",1165.05068098284,1331.93263739552,1128.89944457965
"medBMI","OSTK","leg_tot",286.216868285247,294.001002645203,290.525360740574
"medSBP","OSTK","leg_tot",0,0,0
