"age","female","pathway","disease_type3","riskfactor","V1","V2","V3"
25,0,"direct","Other_CVD","dairy_tot",0,0,0
25,0,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,"medSBP","Other_CVD","dairy_tot",0,0,0
35,0,"direct","Other_CVD","dairy_tot",0,0,0
35,0,"medBMI","Other_CVD","dairy_tot",0,0,0
35,0,"medSBP","Other_CVD","dairy_tot",0,0,0
45,0,"direct","Other_CVD","dairy_tot",0,0,0
45,0,"medBMI","Other_CVD","dairy_tot",0,0,0
45,0,"medSBP","Other_CVD","dairy_tot",0,0,0
55,0,"direct","Other_CVD","dairy_tot",0,0,0
55,0,"medBMI","Other_CVD","dairy_tot",0,0,0
55,0,"medSBP","Other_CVD","dairy_tot",0,0,0
65,0,"direct","Other_CVD","dairy_tot",0,0,0
65,0,"medBMI","Other_CVD","dairy_tot",0,0,0
65,0,"medSBP","Other_CVD","dairy_tot",0,0,0
75,0,"direct","Other_CVD","dairy_tot",0,0,0
75,0,"medBMI","Other_CVD","dairy_tot",0,0,0
75,0,"medSBP","Other_CVD","dairy_tot",0,0,0
25,1,"direct","Other_CVD","dairy_tot",0,0,0
25,1,"medBMI","Other_CVD","dairy_tot",0,0,0
25,1,"medSBP","Other_CVD","dairy_tot",0,0,0
35,1,"direct","Other_CVD","dairy_tot",0,0,0
35,1,"medBMI","Other_CVD","dairy_tot",0,0,0
35,1,"medSBP","Other_CVD","dairy_tot",0,0,0
45,1,"direct","Other_CVD","dairy_tot",0,0,0
45,1,"medBMI","Other_CVD","dairy_tot",0,0,0
45,1,"medSBP","Other_CVD","dairy_tot",0,0,0
55,1,"direct","Other_CVD","dairy_tot",0,0,0
55,1,"medBMI","Other_CVD","dairy_tot",0,0,0
55,1,"medSBP","Other_CVD","dairy_tot",0,0,0
65,1,"direct","Other_CVD","dairy_tot",0,0,0
65,1,"medBMI","Other_CVD","dairy_tot",0,0,0
65,1,"medSBP","Other_CVD","dairy_tot",0,0,0
75,1,"direct","Other_CVD","dairy_tot",0,0,0
75,1,"medBMI","Other_CVD","dairy_tot",0,0,0
75,1,"medSBP","Other_CVD","dairy_tot",0,0,0
25,0,"direct","Cancer","dairy_tot",101.800822484147,95.35294814901,71.5116768445965
25,0,"medBMI","Cancer","dairy_tot",0,0,0
25,0,"medSBP","Cancer","dairy_tot",0,0,0
35,0,"direct","Cancer","dairy_tot",283.435464844662,278.824213438151,297.905761307706
35,0,"medBMI","Cancer","dairy_tot",0,0,0
35,0,"medSBP","Cancer","dairy_tot",0,0,0
45,0,"direct","Cancer","dairy_tot",869.680385906844,742.098856536742,708.334120890473
45,0,"medBMI","Cancer","dairy_tot",0,0,0
45,0,"medSBP","Cancer","dairy_tot",0,0,0
55,0,"direct","Cancer","dairy_tot",1613.33277456835,1724.76935068627,1910.23402559654
55,0,"medBMI","Cancer","dairy_tot",0,0,0
55,0,"medSBP","Cancer","dairy_tot",0,0,0
65,0,"direct","Cancer","dairy_tot",1578.09220416167,1411.04201768981,1769.36601434469
65,0,"medBMI","Cancer","dairy_tot",0,0,0
65,0,"medSBP","Cancer","dairy_tot",0,0,0
75,0,"direct","Cancer","dairy_tot",1431.86225613427,973.209581176539,1258.17593537165
75,0,"medBMI","Cancer","dairy_tot",0,0,0
75,0,"medSBP","Cancer","dairy_tot",0,0,0
25,1,"direct","Cancer","dairy_tot",98.7034243728467,108.340000544885,103.509512250485
25,1,"medBMI","Cancer","dairy_tot",0,0,0
25,1,"medSBP","Cancer","dairy_tot",0,0,0
35,1,"direct","Cancer","dairy_tot",259.554116522862,226.585915690363,264.76596943715
35,1,"medBMI","Cancer","dairy_tot",0,0,0
35,1,"medSBP","Cancer","dairy_tot",0,0,0
45,1,"direct","Cancer","dairy_tot",680.543719399837,679.636951232973,537.772934199832
45,1,"medBMI","Cancer","dairy_tot",0,0,0
45,1,"medSBP","Cancer","dairy_tot",0,0,0
